ticker,event,domain,won,snapshot_price,n_trades_before_snapshot,staleness_hours,at_floor,n_event_candidates,bucket
KXCANCOALITION-30-C,KXCANCOALITION-30,Political,0,0.01,3205,23.03,True,6,0
KXCCARCOACH-26-DCRO,KXCCARCOACH-26,Sports,0,0.06,3,20.08,False,13,2
KXCCARCOACH-26-GRIL,KXCCARCOACH-26,Sports,0,0.49,37,2.48,False,13,5
KXCCARCOACH-26-MJAC,KXCCARCOACH-26,Sports,0,0.01,8,1.9,True,13,0
KXCCARCOACH-26-KCAH,KXCCARCOACH-26,Sports,0,0.07,9,22.44,False,13,2
KXCCARCOACH-26-TBEC,KXCCARCOACH-26,Sports,0,0.05,14,23.93,False,13,2
KXCCARCOACH-26-RBEA,KXCCARCOACH-26,Sports,1,0.28,77,1.95,False,13,4
KXCCARCOACH-26-MLEF,KXCCARCOACH-26,Sports,0,0.07,11,37.91,False,13,2
KXCCARCOACH-26-JJOH,KXCCARCOACH-26,Sports,0,0.11,8,6.2,False,13,3
KXCCARCOACH-26-JCHA,KXCCARCOACH-26,Sports,0,0.04,38,47.87,False,13,1
KXCCARCOACH-26-GMCC,KXCCARCOACH-26,Sports,0,0.08,12,90.54,False,13,2
KXCCARCOACH-26-CWOO,KXCCARCOACH-26,Sports,0,0.09,6,44.79,False,13,2
KXCCARCOACH-26-BVIG,KXCCARCOACH-26,Sports,0,0.1,4,28.39,False,13,3
KXCCARCOACH-26-BHAR,KXCCARCOACH-26,Sports,0,0.02,7,21.48,True,13,1
KXCHANCELLOR-21-L,KXCHANCELLOR-21,Political,0,0.01,15,5.29,True,6,0
KXCHANCELLOR-21-G,KXCHANCELLOR-21,Political,0,0.03,5,141.8,False,6,1
KXCHANCELLOR-21-AFD,KXCHANCELLOR-21,Political,0,0.04,17,141.79,False,6,1
KXCHANCELLOR-21-SPD,KXCHANCELLOR-21,Political,0,0.06,15,47.22,False,6,2
KXCHANCELLOR-21-FDP,KXCHANCELLOR-21,Political,0,0.01,2,603.48,True,6,0
KXCHANCELLOR-21-CDU,KXCHANCELLOR-21,Political,1,0.87,95,19.08,False,6,8
KXCIA-26DEC31-DG,KXCIA-26DEC31,Political,0,0.01,9,357.81,True,9,0
KXCIA-26DEC31-TC,KXCIA-26DEC31,Political,0,0.01,4,390.02,True,9,0
KXCIA-26DEC31-RG,KXCIA-26DEC31,Political,0,0.01,4,390.02,True,9,0
KXCIA-26DEC31-RFK,KXCIA-26DEC31,Political,0,0.01,5,222.05,True,9,0
KXCIA-26DEC31-MW,KXCIA-26DEC31,Political,0,0.02,8,335.97,True,9,1
KXCIA-26DEC31-MP,KXCIA-26DEC31,Political,0,0.01,5,349.17,True,9,0
KXCIA-26DEC31-KP,KXCIA-26DEC31,Political,0,0.02,125,2.55,True,9,1
KXCIA-26DEC31-JR,KXCIA-26DEC31,Political,1,0.93,124,47.55,False,9,8
KXCIA-26DEC31-DN,KXCIA-26DEC31,Political,0,0.01,5,390.02,True,9,0
KXCLOSEST2025-26NOV04-VALG,KXCLOSEST2025-26NOV04,Political,0,0.07,114,2.54,False,6,2
KXCLOSEST2025-26NOV04-VAGOV,KXCLOSEST2025-26NOV04,Political,0,0.03,55,2.54,False,6,1
KXCLOSEST2025-26NOV04-VAAG,KXCLOSEST2025-26NOV04,Political,1,0.76,426,1.86,False,6,7
KXCLOSEST2025-26NOV04-NYCM,KXCLOSEST2025-26NOV04,Political,0,0.04,61,1.43,False,6,1
KXCLOSEST2025-26NOV04-NJGOV,KXCLOSEST2025-26NOV04,Political,0,0.19,471,0.14,False,6,3
KXCLOSEST2025-26NOV04-CA50,KXCLOSEST2025-26NOV04,Political,0,0.01,19,3.35,True,6,0
KXCONNCOACH-26-MSTO,KXCONNCOACH-26,Sports,0,0.05,1,34.84,False,8,2
KXCONNCOACH-26-GKIN,KXCONNCOACH-26,Sports,0,0.1,4,16.42,False,8,3
KXCONNCOACH-26-TREN,KXCONNCOACH-26,Sports,0,0.19,10,15.75,False,8,3
KXCONNCOACH-26-MPAT,KXCONNCOACH-26,Sports,0,0.05,1,66.76,False,8,2
KXCONNCOACH-26-JGRU,KXCONNCOACH-26,Sports,0,0.06,2,17.08,False,8,2
KXCONNCOACH-26-GSAM,KXCONNCOACH-26,Sports,0,0.36,12,16.6,False,8,5
KXCONNCOACH-26-CKEL,KXCONNCOACH-26,Sports,0,0.04,1,34.96,False,8,1
KXCONNCOACH-26-BKEL,KXCONNCOACH-26,Sports,0,0.05,1,34.53,False,8,2
KXDENMARK2ND-26MAR24-2-V,KXDENMARK2ND-26MAR24-2,Political,0,0.03,4,15.35,False,5,1
KXDENMARK2ND-26MAR24-2-I,KXDENMARK2ND-26MAR24-2,Political,0,0.12,22,0.27,False,5,3
KXDENMARK2ND-26MAR24-2-F,KXDENMARK2ND-26MAR24-2,Political,1,0.84,104,0.09,False,5,8
KXDENMARK2ND-26MAR24-2-AE,KXDENMARK2ND-26MAR24-2,Political,0,0.08,2,16.83,False,5,2
KXDENMARK2ND-26MAR24-2-A,KXDENMARK2ND-26MAR24-2,Political,0,0.02,1,55.74,True,5,1
KXDENMARK3RD-26MAR24-3-DPP,KXDENMARK3RD-26MAR24-3,Political,0,0.09,3,1.16,False,7,2
KXDENMARK3RD-26MAR24-3-V,KXDENMARK3RD-26MAR24-3,Political,1,0.29,98,1.32,False,7,4
KXDENMARK3RD-26MAR24-3-M,KXDENMARK3RD-26MAR24-3,Political,0,0.01,1,1.55,True,7,0
KXDENMARK3RD-26MAR24-3-I,KXDENMARK3RD-26MAR24-3,Political,0,0.47,56,0.46,False,7,5
KXDENMARK3RD-26MAR24-3-F,KXDENMARK3RD-26MAR24-3,Political,0,0.13,11,2.38,False,7,3
KXDENMARK3RD-26MAR24-3-AE,KXDENMARK3RD-26MAR24-3,Political,0,0.03,2,131.78,False,7,1
KXDENMARK3RD-26MAR24-3-A,KXDENMARK3RD-26MAR24-3,Political,0,0.01,5,1.16,True,7,0
KXDENMARKPARLI-26-DF,KXDENMARKPARLI-26,Political,0,0.06,1,810.49,False,3,2
KXDENMARKPARLI-26-VENSTRE,KXDENMARKPARLI-26,Political,0,0.08,1,810.49,False,3,2
KXDENMARKPARLI-26-SD,KXDENMARKPARLI-26,Political,1,0.89,25,744.92,False,3,8
KXDEPORTCOUNT-25-750,KXDEPORTCOUNT-25,Political,0,0.074,5383,0.78,False,5,2
KXDEPORTCOUNT-25-500,KXDEPORTCOUNT-25,Political,0,0.151,15673,0.01,False,5,3
KXDEPORTCOUNT-25-250,KXDEPORTCOUNT-25,Political,1,0.954,4578,0.87,False,5,9
KXDEPORTCOUNT-25-2000,KXDEPORTCOUNT-25,Political,0,0.011,970,13.89,True,5,0
KXDEPORTCOUNT-25-1000,KXDEPORTCOUNT-25,Political,0,0.047,1704,1.19,False,5,1
KXELECTIONICOAST-26-JLBI,KXELECTIONICOAST-26,Political,0,0.09,1,61.74,False,2,2
KXELECTIONICOAST-26-AOUT,KXELECTIONICOAST-26,Political,1,0.86,28,816.42,False,2,8
KXELECTIONMOVVAGOV-25NOV04-P8,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.2,887,0.02,False,9,4
KXELECTIONMOVVAGOV-25NOV04-P6,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.13,1002,0.02,False,9,3
KXELECTIONMOVVAGOV-25NOV04-P57,KXELECTIONMOVVAGOV-25NOV04,Political,1,0.27,1205,0.18,False,9,4
KXELECTIONMOVVAGOV-25NOV04-P12,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.17,247,0.18,False,9,3
KXELECTIONMOVVAGOV-25NOV04-P10,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.17,338,0.03,False,9,3
KXELECTIONMOVVAGOV-25NOV04-P4,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.03,853,0.02,False,9,1
KXELECTIONMOVVAGOV-25NOV04-P2,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.01,621,0.01,True,9,0
KXELECTIONMOVVAGOV-25NOV04-P0,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.01,353,1.06,True,9,0
KXELECTIONMOVVAGOV-25NOV04-N50,KXELECTIONMOVVAGOV-25NOV04,Political,0,0.03,332,0.02,False,9,1
KXEPA-26DEC31-SW,KXEPA-26DEC31,Political,0,0.05,66,0.02,False,3,2
KXEPA-26DEC31-MG,KXEPA-26DEC31,Political,0,0.01,7,0.49,True,3,0
KXEPA-26DEC31-ASG,KXEPA-26DEC31,Political,0,0.01,11,0.68,True,3,0
KXEULEADEROUT-35-PS,KXEULEADEROUT-35,Political,0,0.05,1,299.02,False,1,2
KXEWCDOTA2-DOTA225-HER,KXEWCDOTA2-DOTA225,Sports,0,0.14,2,162.46,False,9,3
KXEWCDOTA2-DOTA225-AUR,KXEWCDOTA2-DOTA225,Sports,0,0.14,7,48.07,False,9,3
KXEWCDOTA2-DOTA225-SPI,KXEWCDOTA2-DOTA225,Sports,1,0.35,25,18.22,False,9,5
KXEWCDOTA2-DOTA225-PVI,KXEWCDOTA2-DOTA225,Sports,0,0.02,64,2.88,True,9,1
KXEWCDOTA2-DOTA225-LIQ,KXEWCDOTA2-DOTA225,Sports,0,0.02,60,23.29,True,9,1
KXEWCDOTA2-DOTA225-GAI,KXEWCDOTA2-DOTA225,Sports,0,0.01,26,51.42,True,9,0
KXEWCDOTA2-DOTA225-FAL,KXEWCDOTA2-DOTA225,Sports,0,0.25,17,12.25,False,9,4
KXEWCDOTA2-DOTA225-ESP,KXEWCDOTA2-DOTA225,Sports,0,0.19,9,26.58,False,9,3
KXEWCDOTA2-DOTA225-BBT,KXEWCDOTA2-DOTA225,Sports,0,0.02,26,26.61,True,9,1
KXFBI-26DEC31-AB,KXFBI-26DEC31,Political,0,0.04,244,47.14,False,5,1
KXFBI-26DEC31-MR,KXFBI-26DEC31,Political,0,0.07,798,38.88,False,5,2
KXFBI-26DEC31-SB,KXFBI-26DEC31,Political,0,0.01,76,444.84,True,5,0
KXFBI-26DEC31-KPAX,KXFBI-26DEC31,Political,0,0.01,331,35.89,True,5,0
KXFBI-26DEC31-KP,KXFBI-26DEC31,Political,1,0.89,10843,0.45,False,5,8
KXFDA-26DEC31-MM,KXFDA-26DEC31,Political,1,0.92,138,8.28,False,4,8
KXFDA-26DEC31-RFK,KXFDA-26DEC31,Political,0,0.02,2157,391.87,True,4,1
KXFDA-26DEC31-DF,KXFDA-26DEC31,Political,0,0.01,218,1031.5,True,4,0
KXFDA-26DEC31-BS,KXFDA-26DEC31,Political,0,0.01,265,362.69,True,4,0
KXFEDCHAIRNOM-29-JYEL,KXFEDCHAIRNOM-29,Political,0,0.01,61,44.54,True,23,0
KXFEDCHAIRNOM-29-RREI,KXFEDCHAIRNOM-29,Political,0,0.37,19118,0.0,False,23,5
KXFEDCHAIRNOM-29-LLIN,KXFEDCHAIRNOM-29,Political,0,0.01,62,5.33,True,23,0
KXFEDCHAIRNOM-29-LLOG,KXFEDCHAIRNOM-29,Political,0,0.01,94,5.8,True,23,0
KXFEDCHAIRNOM-29-PJEF,KXFEDCHAIRNOM-29,Political,0,0.01,85,5.34,True,23,0
KXFEDCHAIRNOM-29-MBOW,KXFEDCHAIRNOM-29,Political,0,0.02,3023,0.84,True,23,1
KXFEDCHAIRNOM-29-SMIR,KXFEDCHAIRNOM-29,Political,0,0.01,2358,0.49,True,23,0
KXFEDCHAIRNOM-29-MSUM,KXFEDCHAIRNOM-29,Political,0,0.01,123,5.34,True,23,0
KXFEDCHAIRNOM-29-JBUL,KXFEDCHAIRNOM-29,Political,0,0.01,235,5.35,True,23,0
KXFEDCHAIRNOM-29-DZER,KXFEDCHAIRNOM-29,Political,0,0.01,703,2.2,True,23,0
KXFEDCHAIRNOM-29-DMAL,KXFEDCHAIRNOM-29,Political,0,0.01,273,5.29,True,23,0
KXFEDCHAIRNOM-29-BPUL,KXFEDCHAIRNOM-29,Political,0,0.01,439,3.26,True,23,0
KXFEDCHAIRNOM-29-DJT,KXFEDCHAIRNOM-29,Political,0,0.01,675,1.56,True,23,0
KXFEDCHAIRNOM-29-HLUT,KXFEDCHAIRNOM-29,Political,0,0.01,351,2.36,True,23,0
KXFEDCHAIRNOM-29-SBES,KXFEDCHAIRNOM-29,Political,0,0.05,6900,0.04,False,23,2
KXFEDCHAIRNOM-29-CWAL,KXFEDCHAIRNOM-29,Political,0,0.18,14627,0.02,False,23,3
KXFEDCHAIRNOM-29-RP,KXFEDCHAIRNOM-29,Political,0,0.01,132,0.59,True,23,0
KXFEDCHAIRNOM-29-LK,KXFEDCHAIRNOM-29,Political,0,0.01,293,0.42,True,23,0
KXFEDCHAIRNOM-29-KW,KXFEDCHAIRNOM-29,Political,1,0.33,31577,0.08,False,23,4
